시도명,선거구명,구시군명,읍면동명,투표타입,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,"무효
투표수",기권수
서울특별시,종로구,종로구,,,,,"더불어민주당
곽상언","국민의힘
최재형","새로운미래
진예찬","개혁신당
금태섭","가락특권폐지당
김준수","대한국민당
김종갑","민중민주당
차은정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"126,041","88,779","44,713","38,752","1,080","2,835",54,85,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,809",970,"37,262"
,,,거소·선상투표,,133,125,56,55,3,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,4,8
,,,관외사전투표,,"10,421","10,419","5,929","3,829",112,372,11,6,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,369",50,2
,,,국외부재자투표,,896,665,422,199,12,24,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,4,231
,,,청운효자동,소계,"9,104","6,503","3,377","2,728",114,201,1,7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,447",56,"2,601"
,,,,관내사전투표,"3,100","3,100","1,872","1,049",54,94,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,081",19,0
,,,,청운효자동제1투,"2,011","1,159",442,655,18,33,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,152",7,852
,,,,청운효자동제2투,"1,939","1,047",464,510,22,34,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,034",13,892
,,,,청운효자동제3투,"2,054","1,197",599,514,20,40,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,180",17,857
,,,사직동,소계,"7,172","4,860","1,988","2,511",69,232,1,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,816",44,"2,312"
,,,,관내사전투표,"2,091","2,091","1,020",937,27,96,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,085",6,0
,,,,사직동제1투,"1,685",928,426,444,14,32,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,10,757
,,,,사직동제2투,"3,396","1,841",542,"1,130",28,104,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,813",28,"1,555"
,,,삼청동,소계,"1,828","1,254",557,629,19,36,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,243",11,574
,,,,관내사전투표,581,581,319,228,11,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,3,0
,,,,삼청동투표소,"1,247",673,238,401,8,16,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,8,574
,,,부암동,소계,"7,023","4,873","2,410","2,176",62,160,4,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,827",46,"2,150"
