SIDO,SGG,votes cast,democratic party,ppp
서울,종로,83465,44713,38752
서울,중구성동갑,123930,65204,58726
서울,중구성동을,120689,61728,58961
서울,용산,127056,60473,66583
서울,광진갑,102986,54105,48881
서울,광진을,102709,53362,49347
서울,동대문갑,99355,53978,45377
서울,동대문을,106694,58286,48408
서울,중랑갑,98310,60881,37429
서울,중랑을,127498,73600,53898
서울,성북갑,127218,74707,52511
서울,성북을,121200,68872,52328
서울,강북갑,83340,47701,35639
서울,강북을,79612,44623,34989
서울,도봉갑,91650,45276,46374
서울,도봉을,95353,50384,44969
서울,노원갑,155910,91986,63924
서울,노원을,143236,85721,57515
서울,은평갑,147040,89379,57661
서울,은평을,125823,74211,51612
서울,서대문갑,83356,44890,38466
서울,서대문을,99257,57198,42059
서울,마포갑,96085,47743,48342
서울,마포을,112563,64715,47848
서울,양천갑,140244,71285,68959
서울,양천을,118255,67962,50293
서울,강서갑,107354,64651,42703
서울,강서을,115955,63601,52354
서울,강서병,105343,62297,43046
서울,구로갑,143846,80182,63664
서울,구로을,96529,57788,38741
서울,금천,133112,78587,54525
서울,영등포갑,129076,73163,55913
서울,영등포을,98167,49651,48516
서울,동작갑,119870,63372,56498
서울,동작을,116115,53395,62720
서울,관악갑,157281,89778,67503
서울,관악을,123189,73771,49418
서울,서초갑,109301,34488,74813
서울,서초을,135042,57404,77638
서울,강남갑,94330,33781,60549
서울,강남을,122296,50663,71633
서울,강남병,99505,32908,66597
서울,송파갑,105352,48831,56521
서울,송파을,135521,57990,77531
서울,송파병,157430,80358,77072
서울,강동갑,144280,73791,70489
서울,강동을,130927,71376,59551
부산,중구영도,22161,8938,13223
부산,서구동구,60733,24911,35822
부산,부산진갑,106373,50220,56153
부산,부산진을,98183,44286,53897
부산,동래,153254,67941,85313
부산,남구,155431,70868,84563
부산,북구갑,82398,43548,38850
부산,북구을,85385,40499,44886
부산,해운대갑,124984,56717,68267
부산,해운대을,93151,38811,54340
부산,사하갑,87125,43216,43909
부산,사하을,82590,35735,46855
부산,금정,129337,56100,73237
부산,강서,75753,33645,42108
부산,연제,123123,54721,68402
부산,수영,92180,41088,51092
부산,사상,119634,56659,62975
부산,기장,94100,44852,49248
대구,중구남구,41380,14401,26979
대구,동구군위갑,92047,23484,68563
대구,동구군위을,124277,55234,69043
대구,서구,115500,51333,64167
대구,북구갑,95008,26266,68742
대구,북구을,120153,32797,87356
대구,수성갑,130772,41332,89440
대구,수성을,120216,53429,66787
대구,달서갑,84138,24068,60070
대구,달서을,128316,35313,93003
대구,달서병,89668,39852,49816
대구,달성,133499,32955,100544
인천,중구강화옹진,84816,42347,42469
인천,동구미추홀갑,35610,18850,16760
인천,동구미추홀을,116435,57705,58730
인천,연수갑,110209,58663,51546
인천,연수을,110021,56667,53354
인천,남동갑,125903,73764,52139
인천,남동을,140304,76443,63861
인천,부평갑,139137,76797,62340
인천,부평을,124383,70896,53487
인천,계양갑,78603,45823,32780
인천,계양을,88981,48365,40616
인천,서구갑,108129,63564,44565
인천,서구을,106871,60423,46448
인천,서구병,109753,65033,44720
광주,동구남구갑,93446,82883,10563
광주,동구남구을,72494,64558,7936
광주,서구갑,63765,56267,7498
광주,서구을,64397,58037,6360
광주,북구갑,95569,86713,8856
광주,북구을,109870,99993,9877
광주,광산갑,80420,74102,6318
광주,광산을,100674,94733,5941
대전,동구,119124,64597,54527
대전,중구,127681,66509,61172
대전,서구갑,127712,71576,56136
대전,서구을,116660,65340,51320
대전,유성갑,103227,60038,43189
대전,유성을,99596,61387,38209
대전,대덕,90928,49273,41655
울산,중구,119759,52158,67601
울산,남구갑,89753,39687,50066
울산,남구을,79146,34644,44502
울산,동구,76380,38474,37906
울산,북구,88479,39324,49155
울산,울주,125351,58307,67044
세종,세종갑,89319,39697,49622
세종,세종을,82769,49621,33148
경기,수원갑,132928,75562,57366
경기,수원을,140397,86677,53720
경기,수원병,116402,64505,51897
경기,수원정,137385,69881,67504
경기,수원무,148570,87665,60905
경기,성남수정,138374,80835,57539
경기,성남중원,122529,73661,48868
경기,성남분당갑,163893,76578,87315
경기,성남분당을,135455,66196,69259
